,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt,level_0,Position,inrix_spline_speed
0,24661,1618527070.9,122.19427201610148,1.020211648461238,195.67471006917333,,,-86.5799832,35.9843477,,,0.0,0.0,0.0,0.0,53822.026209932985,-53747.72620993298,316.8879466804308,West,False,,,
1,24662,1618527071.0,122.41345070868994,1.020200708569451,252.0,,,-86.58000899999999,35.98437,,,0.0,0.0,0.0,0.0,53825.42290070508,-53751.12290070508,317.1753184457609,West,True,,,
2,24663,1618527071.1,122.59476235898376,1.0202423332200097,252.0,,,-86.580035,35.9843927,,,0.0,0.0,0.0,0.0,53828.86440252002,-53754.564402520016,316.5944135019098,West,True,,,
3,24664,1618527071.2,122.8711578815888,1.0203368893534568,252.0,,,-86.5800613,35.9844152,,,0.0,0.0,0.0,0.0,53832.30811860986,-53758.008118609854,316.8301760302707,West,True,,,
4,24665,1618527071.3,122.95351414523309,1.0204669935059782,252.0,,,-86.5800875,35.984437799999995,,,0.0,0.0,0.0,0.0,53835.75375900039,-53761.45375900039,316.1625054228818,West,True,,,
5,24666,1618527071.4,123.22,1.0205794489655444,252.0,,,-86.5801142,35.984460299999995,,,0.0,0.0,0.0,0.0,53839.22230390516,-53764.92230390516,316.37770001714165,West,True,,,
6,24667,1618527071.5,123.44475385291244,1.0206053219648072,252.0,,,-86.5801407,35.984482799999995,,,0.0,0.0,0.0,0.0,53842.6784089184,-53768.3784089184,316.37770817260486,West,True,,,
7,24668,1618527071.6,123.61554954589089,1.0204507915348966,252.0,,,-86.5801672,35.984505299999995,,,0.0,0.0,0.0,0.0,53846.134513462566,-53771.83451346256,316.30882138995463,West,True,,,
8,24669,1618527071.7,123.87695610890246,1.0200239357524947,252.0,,,-86.58019399999999,35.984528000000005,,,0.0,0.0,0.0,0.0,53849.62534135497,-53775.32534135497,316.16253808725656,West,True,,,
9,24670,1618527071.8,123.98752109162938,1.0192320471131768,252.0,,,-86.58022070000001,35.9845505,,,0.0,0.0,0.0,0.0,53853.09388435886,-53778.793884358856,316.0555315922537,West,True,,,
10,24671,1618527071.9,124.24860705424736,1.0180068217776794,252.0,,,-86.5802475,35.984573,,,0.0,0.0,0.0,0.0,53856.56866483311,-53782.26866483311,315.58695472026204,West,True,,,
11,24672,1618527072.0,124.44355749109732,1.0163022391872474,252.0,,,-86.5802745,35.984595299999995,,,0.0,0.0,0.0,0.0,53860.04003655951,-53785.7400365595,316.3088540197343,West,True,,,
12,24673,1618527072.1,124.66,1.0141088117254362,252.0,,,-86.58030129999999,35.984618,,,0.0,0.0,0.0,0.0,53863.53086255144,-53789.23086255144,315.8847562899471,West,True,,,
13,24674,1618527072.2,124.8893616710221,1.0114469449841792,252.0,,,-86.58032850000001,35.9846407,,,0.0,0.0,0.0,0.0,53867.04664552616,-53792.74664552616,315.84268528996955,West,True,,,
14,24675,1618527072.3,125.00346893658832,1.0083645023116063,252.0,,,-86.58035550000001,35.98466320000001,,,0.0,0.0,0.0,0.0,53870.53393613045,-53796.23393613045,315.653245863527,West,True,,,
15,24676,1618527072.4,125.22525757949224,1.0049251198565812,252.0,,,-86.5803828,35.984685799999994,,,0.0,0.0,0.0,0.0,53874.04802694278,-53799.748026942776,315.42150802478875,West,True,,,
16,24677,1618527072.5,125.40337961877796,1.001189850948864,252.0,,,-86.5804102,35.9847083,,,0.0,0.0,0.0,0.0,53877.56048351543,-53803.26048351543,315.779703538033,West,True,,,
17,24678,1618527072.6,125.69994597178628,0.9972055346853068,252.0,,,-86.5804375,35.984731,,,0.0,0.0,0.0,0.0,53881.08253372451,-53806.78253372451,314.8537955861259,West,True,,,
18,24679,1618527072.7,125.74605099298684,0.9929774799748596,252.0,,,-86.5804652,35.9847533,,,0.0,0.0,0.0,0.0,53884.59826715478,-53810.29826715478,315.46670080988895,West,True,,,
19,24680,1618527072.8,126.01318129181678,0.9884664063995456,252.0,,,-86.5804928,35.984776000000004,,,0.0,0.0,0.0,0.0,53888.1391945108,-53813.8391945108,315.57067708495083,West,True,,,
20,24681,1618527072.9,126.35467312147532,0.9835620429404396,252.0,,,-86.5805203,35.9847987,,,0.0,0.0,0.0,0.0,53891.67381695951,-53817.3738169595,315.23664518060866,West,True,,,
21,24682,1618527073.0,126.34783559135847,0.9780963151924956,252.0,,,-86.580548,35.9848213,,,0.0,0.0,0.0,0.0,53895.213155618105,-53820.9131556181,315.36312731057745,West,True,,,
22,24683,1618527073.1,126.65451096190364,0.9718261564799202,252.0,,,-86.5805757,35.984844,,,0.0,0.0,0.0,0.0,53898.76039749217,-53824.46039749217,315.3858228840423,West,True,,,
23,24684,1618527073.2,126.78692749920154,0.9644656342597862,252.0,,,-86.58060350000001,35.98486679999999,,,0.0,0.0,0.0,0.0,53902.32187328617,-53828.02187328617,315.25991430276656,West,True,,,
24,24685,1618527073.3,126.91908385404332,0.955681100026878,252.0,,,-86.5806313,35.9848895,,,0.0,0.0,0.0,0.0,53905.87544171856,-53831.57544171855,315.43067435331886,West,True,,,
25,24686,1618527073.4,127.16454641835156,0.9451378620612634,252.0,,,-86.5806593,35.9849125,,,0.0,0.0,0.0,0.0,53909.46538699677,-53835.16538699677,315.0545723609985,West,True,,,
26,24687,1618527073.5,127.36638093672669,0.9325043701955794,252.0,,,-86.58068730000001,35.9849352,,,0.0,0.0,0.0,0.0,53913.03164395884,-53838.73164395883,315.2268044482085,West,True,,,
27,24688,1618527073.6,127.5398703059334,0.9175027640357812,252.0,,,-86.5807155,35.98495820000001,,,0.0,0.0,0.0,0.0,53916.634239509134,-53842.33423950913,315.1805127802831,West,True,,,
28,24689,1618527073.7,127.73675468007823,0.8999138778555738,252.0,,,-86.58074350000001,35.984981,,,0.0,0.0,0.0,0.0,53920.20837422543,-53845.90837422543,314.8506975737707,West,True,,,
29,24690,1618527073.8,127.94820202304018,0.8796182606751328,252.0,,,-86.5807717,35.9850037,,,0.0,0.0,0.0,0.0,53923.78736466048,-53849.48736466048,315.32859324925624,West,True,,,
30,24691,1618527073.9,128.15090447107522,0.8565927235775139,252.0,,,-86.58079980000001,35.985026700000006,,,0.0,0.0,0.0,0.0,53927.38362732843,-53853.08362732843,314.774181473788,West,True,,,
31,24692,1618527074.0,128.2754906957558,0.8309308733462001,252.0,,,-86.5808282,35.9850495,,,0.0,0.0,0.0,0.0,53930.98321967688,-53856.68321967688,315.07841545003043,West,True,,,
32,24693,1618527074.1,128.42759265732616,0.8028256661082749,252.0,,,-86.5808563,35.9850723,,,0.0,0.0,0.0,0.0,53934.56370018445,-53860.26370018445,314.7988755814199,West,True,,,
33,24694,1618527074.2,128.6519901583543,0.7725657324028268,252.0,,,-86.5808848,35.9850952,,,0.0,0.0,0.0,0.0,53938.17751070101,-53863.87751070101,314.9237099912527,West,True,,,
34,24695,1618527074.3,128.80558228164438,0.7405056624171558,252.0,,,-86.58091329999999,35.9851182,,,0.0,0.0,0.0,0.0,53941.799164301054,-53867.49916430105,314.9237183251531,West,True,,,
35,24696,1618527074.4,128.93274144181896,0.7070435631673698,252.0,,,-86.58094179999999,35.9851412,,,0.0,0.0,0.0,0.0,53945.42081737275,-53871.12081737275,314.4732191014031,West,True,,,
36,24697,1618527074.5,128.99766857424947,0.6725880562764575,252.0,,,-86.58097049999999,35.985164000000005,,,0.0,0.0,0.0,0.0,53949.03961878472,-53874.73961878471,314.7234034857884,West,True,,,
37,24698,1618527074.6,129.0999140550551,0.6375291837854961,252.0,,,-86.58099920000001,35.985187,,,0.0,0.0,0.0,0.0,53952.67403440319,-53878.37403440318,314.54763546319674,West,True,,,
38,24699,1618527074.7,129.2302930768533,0.6022142499917207,252.0,,,-86.5810277,35.9852097,,,0.0,0.0,0.0,0.0,53956.27220683012,-53881.97220683012,314.623781748492,West,True,,,
39,24700,1618527074.8,129.2908732867287,0.5669248939481117,252.0,,,-86.58105649999999,35.985232700000005,,,0.0,0.0,0.0,0.0,53959.913019752574,-53885.61301975257,314.4732522796865,West,True,,,
40,24701,1618527074.9,129.41882772348896,0.5318709964388375,252.0,,,-86.5810852,35.9852555,,,0.0,0.0,0.0,0.0,53963.53181902806,-53889.23181902806,314.42557000201106,West,True,,,
41,24702,1618527075.0,129.52278768248092,0.4971813880700382,252.0,,,-86.5811142,35.9852785,,,0.0,0.0,0.0,0.0,53967.18546046373,-53892.88546046373,314.62380668473605,West,True,,,
42,24703,1618527075.1,129.65,0.4629178803608984,252.0,,,-86.58114300000001,35.9853015,,,0.0,0.0,0.0,0.0,53970.8262717793,-53896.5262717793,314.3736526329277,West,True,,,
43,24704,1618527075.2,129.82,0.4290792339895307,252.0,,,-86.58117179999999,35.985324299999995,,,0.0,0.0,0.0,0.0,53974.4514953625,-53900.151495362494,314.4255949805433,West,True,,,
44,24705,1618527075.3,129.86,0.3956302856542827,252.0,,,-86.58120079999999,35.9853473,,,0.0,0.0,0.0,0.0,53978.105135173886,-53903.80513517388,314.30080665122455,West,True,,,
45,24706,1618527075.4,129.99396625403216,0.3625129810958364,252.0,,,-86.58122979999999,35.985370200000006,,,0.0,0.0,0.0,0.0,53981.75099964193,-53907.45099964193,314.5498777173869,West,True,,,
46,24707,1618527075.5,130.0546867476522,0.3296820568830449,252.0,,,-86.5812588,35.9853933,,,0.0,0.0,0.0,0.0,53985.41243043027,-53911.112430430265,314.04962937053574,West,True,,,
47,24708,1618527075.6,130.06990474191812,0.2971152803436198,252.0,,,-86.5812878,35.985416,,,0.0,0.0,0.0,0.0,53989.04279642752,-53914.74279642752,313.97871121245305,West,True,,,
48,24709,1618527075.7,130.12027511863292,0.2648474892971639,252.0,,,-86.581317,35.9854388,,,0.0,0.0,0.0,0.0,53992.693829572025,-53918.39382957202,314.47676899366314,West,True,,,
49,24710,1618527075.8,130.19261635638298,0.2329735219731262,252.0,,,-86.5813462,35.985462,,,0.0,0.0,0.0,0.0,53996.37588637987,-53922.07588637987,313.88085471213407,West,True,,,
50,24711,1618527075.9,130.1913701501994,0.2016744979090913,252.0,,,-86.58137550000001,35.9854848,,,0.0,0.0,0.0,0.0,54000.03339835141,-53925.7333983514,313.59962996557744,West,True,,,
51,24712,1618527076.0,130.26267671772388,0.1712090460873218,252.0,,,-86.58140470000001,35.985507299999995,,,0.0,0.0,0.0,0.0,54003.66134543108,-53929.36134543108,314.1840492649286,West,True,,,
52,24713,1618527076.1,130.3698595568487,0.14192787225801,252.0,,,-86.5814342,35.9855305,,,0.0,0.0,0.0,0.0,54007.36270902319,-53933.06270902319,314.07697368484014,West,True,,,
53,24714,1618527076.2,130.38185832341202,0.1142511444730407,252.0,,,-86.5814633,35.9855533,,,0.0,0.0,0.0,0.0,54011.00727019533,-53936.70727019533,313.30725683766235,West,True,,,
54,24715,1618527076.3,130.40585837283723,0.0886699649752586,252.0,,,-86.58149279999999,35.9855758,,,0.0,0.0,0.0,0.0,54014.65481045592,-53940.35481045592,313.65756994372214,West,True,,,
55,24716,1618527076.4,130.4027953587506,0.0657110419520701,252.0,,,-86.58152220000001,35.9855985,,,0.0,0.0,0.0,0.0,54018.31112510073,-53944.011125100726,313.6861959803098,West,True,,,
56,24717,1618527076.5,130.2927872434995,0.0459275055688403,252.0,,,-86.5815517,35.9856213,,,0.0,0.0,0.0,0.0,54021.98162545466,-53947.68162545466,313.4636082953561,West,True,,,
57,24718,1618527076.6,130.22,0.0298563738840617,252.0,,,-86.5815813,35.985644,,,0.0,0.0,0.0,0.0,54025.650979014405,-53951.3509790144,313.1141000111808,West,True,,,
58,24719,1618527076.7,130.24598964807154,0.0180052393069809,252.0,,,-86.581611,35.9856665,,,0.0,0.0,0.0,0.0,54029.31163255837,-53955.011632558366,313.3072978418956,West,True,,,
59,24720,1618527076.8,130.20314780572565,0.010811394769824,252.0,,,-86.5816405,35.985689,,,0.0,0.0,0.0,0.0,54032.95917004884,-53958.65917004884,313.27103064462915,West,True,,,
60,24721,1618527076.9,130.1487868555651,0.0086325470628798,252.0,,,-86.5816703,35.9857117,,,0.0,0.0,0.0,0.0,54036.64160371391,-53962.3416037139,313.2409093074992,West,True,,,
61,24722,1618527077.0,130.1126430147059,0.0117161200042092,252.0,,,-86.5817,35.9857343,,,0.0,0.0,0.0,0.0,54040.30986422104,-53966.00986422104,312.98682044931536,West,True,,,
62,24723,1618527077.1,130.03781521778683,0.0201996071023879,252.0,,,-86.5817297,35.9857567,,,0.0,0.0,0.0,0.0,54043.96292489351,-53969.66292489351,312.6980015339568,West,True,,,
63,24724,1618527077.2,129.99,0.0340942604026402,252.0,,,-86.5817593,35.98577879999999,,,0.0,0.0,0.0,0.0,54047.58670448904,-53973.28670448904,313.1752748873886,West,True,,,
64,24725,1618527077.3,130.00108155704797,0.0532954762852548,252.0,,,-86.5817892,35.9858015,,,0.0,0.0,0.0,0.0,54051.27569232541,-53976.97569232541,312.7629884709201,West,True,,,
65,24726,1618527077.4,130.00150743333884,0.0775797283953889,252.0,,,-86.581819,35.9858238,,,0.0,0.0,0.0,0.0,54054.92777934792,-53980.62777934792,313.018089014696,West,True,,,
66,24727,1618527077.5,130.03225945727462,0.1066211240080036,252.0,,,-86.5818488,35.9858463,,,0.0,0.0,0.0,0.0,54058.595001699934,-53984.29500169993,312.9223651379632,West,True,,,
67,24728,1618527077.6,130.0549160369823,0.1399975404920071,252.0,,,-86.5818787,35.9858688,,,0.0,0.0,0.0,0.0,54062.26880701717,-53987.96880701717,312.89082285392385,West,True,,,
68,24729,1618527077.7,130.10633077294946,0.1772086130048478,252.0,,,-86.5819085,35.985891200000005,,,0.0,0.0,0.0,0.0,54065.92845123824,-53991.62845123823,312.8269920849976,West,True,,,
69,24730,1618527077.8,130.1770522758165,0.2176874936868262,252.0,,,-86.5819385,35.985913700000005,,,0.0,0.0,0.0,0.0,54069.60884917359,-53995.30884917358,312.31497584529376,West,True,,,
70,24731,1618527077.9,130.24065325984776,0.2608172180432538,252.0,,,-86.5819685,35.98593579999999,,,0.0,0.0,0.0,0.0,54073.25915676471,-53998.95915676471,312.8908471186828,West,True,,,
71,24732,1618527078.0,130.30962634450648,0.3059462793233711,252.0,,,-86.5819983,35.985958200000006,,,0.0,0.0,0.0,0.0,54076.91879931821,-54002.61879931821,312.572054991964,West,True,,,
72,24733,1618527078.1,130.4033597771341,0.3524019137182917,252.0,,,-86.58202829999999,35.9859805,,,0.0,0.0,0.0,0.0,54080.58411408808,-54006.28411408808,311.7362425115285,West,True,,,
73,24734,1618527078.2,130.45860796144265,0.399508390907111,252.0,,,-86.5820585,35.9860023,,,0.0,0.0,0.0,0.0,54084.2254550654,-54009.9254550654,312.25426580396265,West,True,,,
74,24735,1618527078.3,130.67000000000002,0.4465958178690531,252.0,,,-86.5820887,35.9860245,,,0.0,0.0,0.0,0.0,54087.89655461046,-54013.596554610456,312.1856913825987,West,True,,,
75,24736,1618527078.4,130.82805099507098,0.4930195127449167,252.0,,,-86.58211870000001,35.9860465,,,0.0,0.0,0.0,0.0,54091.53938296979,-54017.23938296979,311.9021608379443,West,True,,,
76,24737,1618527078.5,130.86641332515313,0.5381624944779675,252.0,,,-86.582149,35.9860685,,,0.0,0.0,0.0,0.0,54095.20225620279,-54020.90225620278,312.25428974600027,West,True,,,
77,24738,1618527078.6,131.09915029304923,0.5814542267974154,252.0,,,-86.5821792,35.9860907,,,0.0,0.0,0.0,0.0,54098.87335406039,-54024.57335406039,311.8439742696236,West,True,,,
78,24739,1618527078.7,131.22351220612788,0.6223657799944561,252.0,,,-86.5822097,35.986112799999994,,,0.0,0.0,0.0,0.0,54102.557047676746,-54028.25704767674,312.16005165982244,West,True,,,
79,24740,1618527078.8,131.38,0.660427622739197,252.0,,,-86.58224,35.986135,,,0.0,0.0,0.0,0.0,54106.23480899694,-54031.934808996935,311.78644212157457,West,True,,,
80,24741,1618527078.9,131.5506444555041,0.6952184602241486,252.0,,,-86.58227070000001,35.9861572,,,0.0,0.0,0.0,0.0,54109.939326735526,-54035.63932673552,311.7148958840533,West,True,,,
81,24742,1618527079.0,131.7098751927171,0.726383398519813,252.0,,,-86.5823012,35.9861792,,,0.0,0.0,0.0,0.0,54113.6156100973,-54039.3156100973,311.5654547439669,West,True,,,
82,24743,1618527079.1,131.8667275216796,0.7536187183457328,252.0,,,-86.582332,35.9862013,,,0.0,0.0,0.0,0.0,54117.31945348157,-54043.01945348157,311.6939046453907,West,True,,,
83,24744,1618527079.2,132.13655249656094,0.7766916016297247,252.0,,,-86.5823628,35.9862235,,,0.0,0.0,0.0,0.0,54121.03068311821,-54046.73068311821,311.729569337296,West,True,,,
84,24745,1618527079.3,132.34507241913423,0.7954221794607348,252.0,,,-86.5823937,35.9862458,,,0.0,0.0,0.0,0.0,54124.75602749299,-54050.45602749299,311.1611518532093,West,True,,,
85,24746,1618527079.4,132.53796551947033,0.8097039197161644,252.0,,,-86.5824248,35.98626779999999,,,0.0,0.0,0.0,0.0,54128.4727797344,-54054.17277973439,311.25261596928885,West,True,,,
86,24747,1618527079.5,132.7590838373482,0.8194823307900629,252.0,,,-86.58245579999999,35.9862898,,,0.0,0.0,0.0,0.0,54132.18276230271,-54057.8827623027,311.32702283879473,West,True,,,
87,24748,1618527079.6,132.96110150572363,0.8247733502781237,252.0,,,-86.582487,35.986312,,,0.0,0.0,0.0,0.0,54135.920940077376,-54061.62094007737,310.8110489978546,West,True,,,
88,24749,1618527079.7,133.12255559805476,0.8256377332740141,252.0,,,-86.58251820000001,35.9863338,,,0.0,0.0,0.0,0.0,54139.62989637203,-54065.32989637203,310.85007845402606,West,True,,,
89,24750,1618527079.8,133.33824708045978,0.8221956632991865,252.0,,,-86.5825495,35.986355700000004,,,0.0,0.0,0.0,0.0,54143.35293013515,-54069.05293013515,311.1079614060389,West,True,,,
