,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,20180,1616625925.5,33.131165968973164,-0.9165673121974264,21.37186997588521,-0.4151625301434776,-0.9837906325358694,-86.685004,36.06491920000001,100.0,387.5934987942609,0.0,0.0,0.0,0.0,37371.755756322345,-37297.45575632234,356.9107198020626,West,False
1,1,20181,1616625925.6,32.96949518381254,-0.9222886468506692,21.299377053621672,-0.4903114731891659,-0.9963173310038692,-86.6849965,36.0649122,100.0,385.0,0.0,0.0,0.0,0.0,37372.785468589136,-37298.48546858913,356.7822579186921,West,True
2,2,20182,1616625925.7,32.76279008191521,-0.9236745966395448,21.197398734309115,-0.5413006328454426,-0.9781069168409132,-86.6849893,36.06490520000001,100.0,385.0,0.0,0.0,0.0,0.0,37373.79773242234,-37299.49773242234,356.6440102480054,West,True
3,3,20183,1616625925.8,32.57450921073956,-0.920315629566507,21.09542065813148,-0.5922896709342632,-0.959896546094906,-86.68498220000002,36.064898,100.0,385.0,0.0,0.0,0.0,0.0,37374.82156810352,-37300.52156810352,356.869034847577,West,True
4,4,20184,1616625925.9,32.36383347362514,-0.91180969830971,20.993442338818927,-0.6432788305905399,-0.94168613193195,-86.6849748,36.064891,100.0,385.0,0.0,0.0,0.0,0.0,37375.845418459816,-37301.54541845981,356.7370136687282,West,True
5,5,20185,1616625926.0,32.13473852239997,-0.8977860227587284,20.891464262641282,-0.6942678686793606,-0.9234757611859428,-86.6849677,36.064884,100.0,385.0,0.0,0.0,0.0,0.0,37376.85195956875,-37302.55195956874,356.6904954914745,West,True
6,6,20186,1616625926.1,31.96370085370551,-0.8779279116551421,20.78948618646364,-0.7452569067681813,-0.9052653904399351,-86.6849607,36.064877,100.0,385.0,0.0,0.0,0.0,0.0,37377.85282587605,-37303.55282587605,356.87397474330385,West,True
7,7,20187,1616625926.2,31.79487815051473,-0.8520053710068369,20.632078448010798,-0.8026405173297357,-0.9266503233310848,-86.6849535,36.0648702,100.0,385.0,0.0,0.0,0.0,0.0,37378.84809113829,-37304.548091138284,356.82809011629587,West,True
8,8,20188,1616625926.3,31.60284693473961,-0.8198969432564862,20.45212521362734,-0.8626249287908871,-0.9641405804943044,-86.6849463,36.0648633,100.0,385.0,0.0,0.0,0.0,0.0,37379.851830209984,-37305.55183020998,356.7369857051612,West,True
9,9,20189,1616625926.4,31.43,-0.7816179395497084,20.4,-0.96522221666035,-1.0282638854127188,-86.6849392,36.0648563,100.0,385.0,0.0,0.0,0.0,0.0,37380.85837145996,-37306.55837145996,356.78482392405607,West,True
10,10,20190,1616625926.5,31.26401445949256,-0.7373272149134001,20.4,-1.0851956150199156,-1.1032472593874472,-86.6849322,36.0648495,100.0,385.0,0.0,0.0,0.0,0.0,37381.84204220942,-37307.54204220942,356.8320022490603,West,True
11,11,20191,1616625926.6,31.143921457029037,-0.6873381715938315,20.286223945987967,-1.12,-1.1338887542196905,-86.6849252,36.0648428,100.0,385.0,0.0,0.0,0.0,0.0,37382.817191629714,-37308.517191629704,356.7848103925243,West,True
12,12,20192,1616625926.7,31.023137454815092,-0.6321020139341214,20.125952834998923,-1.12,-1.1464099347657095,-86.6849182,36.064836,100.0,385.0,0.0,0.0,0.0,0.0,37383.80086244823,-37309.50086244823,356.83198890077017,West,True
13,13,20193,1616625926.8,30.91053778720871,-0.572196858600021,19.89800105699805,-1.1654997357504877,-1.157109333711014,-86.6849112,36.06482929999999,100.0,385.0,0.0,0.0,0.0,0.0,37384.77601193797,-37310.47601193797,356.8791719096831,West,True
14,14,20194,1616625926.9,30.81412152509653,-0.5082905644656783,19.642842640365924,-1.2292893399085203,-1.1670764593607064,-86.6849042,36.0648227,100.0,385.0,0.0,0.0,0.0,0.0,37385.742692886946,-37311.442692886936,356.78615782690076,West,True
15,15,20195,1616625927.0,30.69,-0.4411150790384713,19.43589943125804,-1.2882011374839215,-1.1570600117539211,-86.6848973,36.064816,100.0,385.0,0.0,0.0,0.0,0.0,37386.712067179236,-37312.412067179226,356.7389900363446,West,True
16,16,20196,1616625927.1,30.59530194631056,-0.371423150226498,19.415899645832663,-1.3282007083346743,-1.0695609505178998,-86.68489050000002,36.0648093,100.0,385.0,0.0,0.0,0.0,0.0,37387.67571546773,-37313.37571546772,356.83612635794884,West,True
17,17,20197,1616625927.2,30.592944537372908,-0.2999631205880369,19.3945038997397,-1.3764883007809068,-1.0515259399403334,-86.6848837,36.0648028,100.0,385.0,0.0,0.0,0.0,0.0,37388.62227571666,-37314.32227571666,356.8340077895747,West,True
18,18,20198,1616625927.3,30.53953637237856,-0.2274474861694201,19.367695166751627,-1.4569144997451309,-1.3028578117035334,-86.6848768,36.0647962,100.0,385.0,0.0,0.0,0.0,0.0,37389.583130636966,-37315.28313063696,356.6403740812147,West,True
19,19,20199,1616625927.4,30.48068880038641,-0.15454192718473642,19.231841162282947,-1.5227196125723508,-1.4817990314308775,-86.6848702,36.0647895,96.08403551420116,385.0,0.0,0.0,0.0,0.0,37390.5354781769,-37316.235478176895,356.78898294117624,West,True
20,20,20200,1616625927.5,30.515417409658284,-0.08185680648058187,19.052085875986013,-1.5826380413379968,-1.6315951033449918,-86.6848635,36.064783,90.5915128773503,385.0,0.0,0.0,0.0,0.0,37391.47625950718,-37317.17625950719,356.8875798915098,West,True
21,21,20201,1616625927.6,30.545579263459267,-0.009953781597924562,18.94327931006989,-1.6425405174475822,-1.7370382546110577,-86.68485679999998,36.0647767,85.80946119143131,385.0,0.0,0.0,0.0,0.0,37392.400065186135,-37318.10006518614,356.9263155285387,West,True
22,22,20202,1616625927.7,30.52828937708251,0.06064176424953335,18.86341782922397,-1.7024366280820211,-1.8243867492862813,-86.68484980000002,36.06477020000001,81.31725289384839,385.0,0.0,0.0,0.0,0.0,37393.358332026335,-37319.05833202634,356.7904572080615,West,True
23,23,20203,1616625927.8,30.548486961795028,0.12942541364302312,18.684043121012408,-1.72,-1.8677223726122267,-86.6848432,36.0647638,81.06334235673359,385.0,0.0,0.0,0.0,0.0,37394.28481695614,-37319.98481695614,356.6903721051919,West,True
24,24,20204,1616625927.9,30.615983699168535,0.19589267628039714,18.46338076198311,-1.72,-1.892797640683738,-86.6848367,36.0647573,82.56785844102427,385.0,0.0,0.0,0.0,0.0,37395.214193373664,-37320.91419337366,356.8936235457009,West,True
25,25,20205,1616625928.0,30.72743383111179,0.2595291531394302,18.32882984434348,-1.805404186787824,-1.9889626945706504,-86.68483020000002,36.0647512,75.88298443434799,385.0,0.0,0.0,0.0,0.0,37396.10941650075,-37321.80941650075,356.84279535775187,West,True
26,26,20206,1616625928.1,30.80096283864781,0.3197939694242151,18.228979704065736,-1.92522435512112,-2.1137753699178328,-86.68482370000002,36.064745,65.89797040657335,385.0,0.0,0.0,0.0,0.0,37397.013093769085,-37322.71309376908,356.93685186693193,West,True
27,27,20207,1616625928.2,30.96,0.3761247500653545,27.352027532001408,-1.2273869586452073,-1.3962538901445884,-86.68481700000002,36.0647388,71.17145315357268,385.8453227400248,0.0,0.0,0.0,0.0,37397.928496353816,-37323.628496353806,356.7951920371189,West,True
28,28,20208,1616625928.3,31.048293431609515,0.42793077764657295,40.24637688402258,-0.1952038208602615,-0.3342962387696919,-86.68481070000001,36.06473270000001,82.68426507502016,387.03630328362283,0.0,0.0,0.0,0.0,37398.81209225237,-37324.51209225237,356.7935474807974,West,True
29,29,20209,1616625928.4,31.25095075680758,0.4746121929398216,50.683819166447975,0.6438191664479805,0.5130651048500608,-86.6848043,36.0647265,92.38191664479805,388.0,0.0,0.0,0.0,0.0,37399.70998452152,-37325.40998452152,356.9444206696834,West,True
